"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100682525",689.005527220592,-0.168823809600969,0.101904338060301,2.7255539900649,0.0987538510462861,0.186928080183448
"100682526",844.060118340285,0.28337758210415,0.25231034763386,1.27287335399012,0.259228331990493,0.367537476485623
"100682528",15382.9325244787,0.655616169495591,0.367585341312279,3.23504985102022,0.0720781097414239,0.152491491289528
"100682529",1907.43407429179,0.767313344010535,0.28698825000918,7.27740220621547,0.00698274468895155,0.0345611823654061
"100682530",14440.3415434295,-0.208694963737874,0.199763731508754,1.08181503665503,0.298291874505044,0.406813680906572
"100682531",1366.23606678453,-0.294805412763028,0.21232840620924,1.90296783226484,0.167746500059255,0.271585022590241
"100682532",238.137925249387,-0.39615004198337,0.161657622440273,5.90342091668299,0.0151115066940524,0.0558819114609663
"100682533",718.86006678753,0.260006600905926,0.215430718468554,1.46876486804763,0.225540670836995,0.332278085285586
"100682534",1725.66234354544,-0.683337795810989,0.365519561202652,3.37571029504954,0.0661640537757283,0.143942764680437
"100682536",761.792071519087,-0.42468193680598,0.250391744550099,2.82145824569852,0.0930118664506607,0.180033181045226
"100682537",134.60947970999,-0.631782433715965,0.210755651020096,8.74563276577794,0.00310344394612918,0.0210273859362375
"100682538",417.652771627053,-1.46079706041845,0.645587372346087,4.67008020697585,0.0306924940634525,0.0872238710739658
"100682539",851.600659735115,-0.164524253551843,0.120460315661169,1.85431673628648,0.173282165932364,0.277888762266309
"100684971",1025.58086402029,-0.298516129899821,0.102773778521275,8.33474728501517,0.00388938879424366,0.024038113787032
"100689008",5844.40215110064,0.699000970293961,0.170327765105091,17.1362475892021,3.4791935087759e-05,0.00115015664481975
"100689009",1399.63443292805,0.981024772548401,0.193175563842608,26.2810344128469,2.95173140833923e-07,6.17042087787386e-05
"100689010",3572.29803409098,0.838366202964546,0.191781877855206,19.4660197403716,1.02405328900147e-05,0.000593030117766946
"100689011",4689.75562058171,0.816835157638663,0.153747966497307,28.7481847693762,8.24271430088174e-08,2.34340367574068e-05
"100689015",1012.1929849191,-0.0157358152450518,0.118254568043836,0.0177284216532598,0.894076240263281,0.919445735799752
